"time","WLV","WST","WRT","WSO","LAI","Rd.LAI","RN.LAI","DVS"
1,0.1,0.1,0.1,0,0.1,0.0140201885395921,0.0137690661616043,2
2,0.1,0.1,0.1,0.013765148298991,0.1,0.0145443077373339,0.0143948109147279,2
3,0.1,0.1,0.1,0.0281557879866684,0.1,0.0113995925508833,0.0112235345856744,2
4,0.1,0.1,0.1,0.0393789623629501,0.1,0.0129719501441086,0.0128384261171814,2
5,0.1,0.1,0.1,0.0522111146769012,0.1,0.00786178796612642,0.00770193260579687,2
6,0.1,0.1,0.1,0.0599126273824464,0.1,0.0148063673362048,0.0146011428153637,2
7,0.1,0.1,0.1,0.0745120347415062,0.1,0.0178200527232199,0.0175916195335328,2
8,0.1,0.1,0.1,0.0920970626535807,0.1,0.00982723495765803,0.00929117198907552,2
9,0.1,0.1,0.1,0.101384301144685,0.1,0.00969620515822259,0.00875654880696454,2
10,0.1,0.1,0.1,0.110136502337601,0.1,0.0108754733531416,0.00968205789768178,2
11,0.1,0.1,0.1,0.119807787264961,0.1,0.0201785891130578,0.0194665088798787,2
12,0.1,0.1,0.1,0.139264494120323,0.1,0.0116616521497542,0.0112202729268126,2
13,0.1,0.1,0.1,0.150479790638078,0.1,0.00904105616104539,0.00857395296466457,2
14,0.1,0.1,0.1,0.159051577927699,0.1,0.00943414555935171,0.00873207014117413,2
15,0.1,0.1,0.1,0.16777751293853,0.1,0.0117926819491896,0.0112733646079304,2
16,0.1,0.1,0.1,0.17904592123822,0.1,0.0197854997147515,0.0194531651231808,2
17,0.1,0.1,0.1,0.198494238288787,0.1,0.0153304865339465,0.0149180391481477,2
18,0.1,0.1,0.1,0.213408522749146,0.1,0.0104823839548352,0.00971021946892427,2
19,0.1,0.1,0.1,0.223114930805615,0.1,0.0178200527232199,0.0172570967955985,2
20,0.1,0.1,0.1,0.240363386139489,0.1,0.0200475593136224,0.0196062037447184,2
21,0.1,0.1,0.1,0.259962829109158,0.1,0.0136270991412858,0.0128502134193236,2
22,0.1,0.1,0.1,0.272810248799431,0.1,0.0117926819491896,0.0103943876447402,2
23,0.1,0.1,0.1,0.283196982912751,0.1,0.0127098905452377,0.0111382892697957,2
24,0.1,0.1,0.1,0.294322499812289,0.1,0.0134960693418504,0.0120189410092925,2
25,0.1,0.1,0.1,0.306331867143073,0.1,0.0136270991412858,0.0126211625198695,2
26,0.1,0.1,0.1,0.318945759652783,0.1,0.0335436286554727,0.0328742104418938,2
27,0.1,0.1,0.1,0.351803955286066,0.1,0.0155925461328174,0.014552487797151,2
28,0.1,0.1,0.1,0.366348221817687,0.1,0.0137581289407212,0.012256484600723,2
29,0.1,0.1,0.1,0.37859470292356,0.1,0.0267300790848298,0.0249772182341452,2
30,0.1,0.1,0.1,0.403548250667857,0.1,0.0248956618927337,0.0232907010736773,2
31,0.1,0.1,0.1,0.426819158289753,0.1,0.0150684269350756,0.0133320138326996,2
32,0.1,0.1,0.1,0.440140024385415,0.1,0.0298747942712804,0.0282205115075898,2
33,0.1,0.1,0.1,0.468338109892693,0.1,0.0437639530114371,0.0423121996229984,2
34,0.1,0.1,0.1,0.510620694089419,0.1,0.0239784532966856,0.0222526186115167,2
35,0.1,0.1,0.1,0.532860711520958,0.1,0.0296127346724095,0.0278861769306585,2
36,0.1,0.1,0.1,0.560719542959804,0.1,0.0335436286554727,0.0321445786583472,2
37,0.1,0.1,0.1,0.592843133287991,0.1,0.0281714068786197,0.0272306900446182,2
38,0.1,0.1,0.1,0.620062967392155,0.1,0.0336746584549082,0.0330561420771796,2
39,0.1,0.1,0.1,0.653110525575109,0.1,0.0478258767939357,0.0473079063216552,2
40,0.1,0.1,0.1,0.700410017193729,0.1,0.0611909163363507,0.0606697215095851,2
41,0.1,0.1,0.1,0.761065552145437,0.1,0.0533291283702242,0.0525190324499815,2
42,0.1,0.1,0.1,0.813569576949508,0.1,0.0501844131837737,0.0492381778164995,2
43,0.1,0.1,0.1,0.86279028819086,0.1,0.0436329232120016,0.0427461414230248,2
44,0.1,0.1,0.1,0.905523305238607,0.1,0.0376055524379714,0.0367128859718725,2
45,0.1,0.1,0.1,0.942225791669323,0.1,0.0153304865339465,0.0141053503756489,2
46,0.1,0.1,0.1,0.956325802906996,0.1,0.0293506750735387,0.0276268992051644,2
47,0.1,0.1,0.1,0.983927117154227,0.1,0.0179510825226553,0.0155160618040949,2
48,0.1,0.1,0.1,0.999437431239563,0.1,0.0334125988560373,0.0310710021014245,2
49,0.1,0.1,0.1,1.03048590089213,0.1,0.0732456578844112,0.0716332351153453,2
50,0.1,0.1,0.1,1.10208259461474,0.1,0.0577841415510292,0.0558904135342067,2
51,0.1,0.1,0.1,1.15794159690545,0.1,0.0581772309493355,0.0558106320118228,2
52,0.1,0.1,0.1,1.21371299688757,0.1,0.0292196452741032,0.0265817737955479,2
53,0.1,0.1,0.1,1.24027780620866,0.1,0.0301368538701513,0.0270431144955302,2
54,0.1,0.1,0.1,1.26729158660012,0.1,0.0235853638983793,0.0202958479122572,2
55,0.1,0.1,0.1,1.28756982886827,0.1,0.0314471518645057,0.0281276699044569,2
56,0.1,0.1,0.1,1.31567491378408,0.1,0.0348539266498271,0.031518709133392,2
57,0.1,0.1,0.1,1.34715330413315,0.1,0.0210957977091059,0.0177778421328896,2
58,0.1,0.1,0.1,1.36491718025929,0.1,0.0438949828108725,0.0410342265177764,2
59,0.1,0.1,0.1,1.40591908524282,0.1,0.0341987776526499,0.0311951801307294,2
60,0.1,0.1,0.1,1.43709248345358,0.1,0.042846744415389,0.0397085394660739,2
61,0.1,0.1,0.1,1.476765553549,0.1,0.0370814332402296,0.0335937561957133,2
62,0.1,0.1,0.1,1.51032893452409,0.1,0.031840241262812,0.0282949700871797,2
63,0.1,0.1,0.1,1.53860069454479,0.1,0.0759972836725554,0.0725817873662156,2
64,0.1,0.1,0.1,1.61112117428082,0.1,0.0600116481414317,0.0566650248033782,2
65,0.1,0.1,0.1,1.66775038311197,0.1,0.119499177085122,0.116438841328846,2
66,0.1,0.1,0.1,1.78410328446411,0.1,0.128278173647296,0.125365437877436,2
67,0.1,0.1,0.1,1.90939093299772,0.1,0.0694457937007834,0.0663209904878544,2
68,0.1,0.1,0.1,1.97566891026965,0.1,0.0503154429832091,0.0472195078398763,2
69,0.1,0.1,0.1,2.02286009356568,0.1,0.0587013501470773,0.0557993070398459,2
70,0.1,0.1,0.1,2.07862346053104,0.1,0.104823839548352,0.101648480155815,2
71,0.1,0.1,0.1,2.18020959824355,0.1,0.122512862472137,0.118282967781511,2
72,0.1,0.1,0.1,2.29838941362676,0.1,0.136533051011729,0.132691524963008,2
73,0.1,0.1,0.1,2.43098962807737,0.1,0.0543773667657078,0.0499414969979873,2
74,0.1,0.1,0.1,2.48089428284696,0.1,0.0406192378249865,0.0348683795914172,2
