"time","WLV","WST","WRT","WSO","LAI","Rd.LAI","RN.LAI","DVS"
1,0.1,0.1,0.1,0,0.1,0.012185771347496,0.0119345619220407,2
2,0.1,0.1,0.1,0.011930911815099,0.1,0.0124478309463668,0.0123043064618592,2
3,0.1,0.1,0.1,0.0242323361646158,0.1,0.0117926819491896,0.0116228613829785,2
4,0.1,0.1,0.1,0.0358544249641061,0.1,0.0128409203446732,0.0127135857347008,2
5,0.1,0.1,0.1,0.0485656694516124,0.1,0.00825487736443275,0.00809580527170697,2
6,0.1,0.1,0.1,0.0566607170794966,0.1,0.0137581289407212,0.0135566573741409,2
7,0.1,0.1,0.1,0.0702159293013344,0.1,0.0172959335254781,0.0170966870684053,2
8,0.1,0.1,0.1,0.0873099985998381,0.1,0.00930311575991627,0.00882927935610821,2
9,0.1,0.1,0.1,0.0961384055091828,0.1,0.0107444435537061,0.00982592920129888,2
10,0.1,0.1,0.1,0.105957852532224,0.1,0.00877899656217451,0.00761055785749392,2
11,0.1,0.1,0.1,0.11356307798313,0.1,0.0161166653305592,0.0153911686253259,2
12,0.1,0.1,0.1,0.128946379685188,0.1,0.011006503152577,0.0105768296559669,2
13,0.1,0.1,0.1,0.139521798920968,0.1,0.0111375329520124,0.0106735664109335,2
14,0.1,0.1,0.1,0.150191586351068,0.1,0.00995826475709347,0.00923541932864514,2
15,0.1,0.1,0.1,0.159422684043767,0.1,0.0117926819491896,0.0112417663979138,2
16,0.1,0.1,0.1,0.170657667582304,0.1,0.0161166653305592,0.0157697657153311,2
17,0.1,0.1,0.1,0.186424124783193,0.1,0.01637872492943,0.0159874356254723,2
18,0.1,0.1,0.1,0.202405228156199,0.1,0.00733766876838466,0.00658225917741666,2
19,0.1,0.1,0.1,0.208984594645735,0.1,0.0132340097429795,0.0126572220728117,2
20,0.1,0.1,0.1,0.221637404686243,0.1,0.0195234401158806,0.0191171726165703,2
21,0.1,0.1,0.1,0.240748969422282,0.1,0.0108754733531416,0.0101413089322373,2
22,0.1,0.1,0.1,0.250885752047895,0.1,0.0111375329520124,0.0097926641529909,2
23,0.1,0.1,0.1,0.260671267827085,0.1,0.0134960693418504,0.0119640204827329,2
24,0.1,0.1,0.1,0.272623078719902,0.1,0.00995826475709347,0.00849685714213219,2
25,0.1,0.1,0.1,0.28111655408053,0.1,0.0151994567345111,0.0142016496128639,2
26,0.1,0.1,0.1,0.295314842912848,0.1,0.0284334664774906,0.0278306063981721,2
27,0.1,0.1,0.1,0.323135258870153,0.1,0.0104823839548352,0.00953662656528194,2
28,0.1,0.1,0.1,0.332673741045801,0.1,0.0119237117486251,0.0105022527362735,2
29,0.1,0.1,0.1,0.343167861666602,0.1,0.0258128704887818,0.0241217088471277,2
30,0.1,0.1,0.1,0.367260155706752,0.1,0.0307920028673285,0.0292509632287803,2
31,0.1,0.1,0.1,0.396484939667612,0.1,0.0144132779378984,0.0127316622877059,2
32,0.1,0.1,0.1,0.409213046933429,0.1,0.0258128704887818,0.0242111095340922,2
33,0.1,0.1,0.1,0.433405424415338,0.1,0.0377365822374068,0.0363866991547878,2
34,0.1,0.1,0.1,0.469762949944902,0.1,0.0200475593136224,0.0183631774596379,2
35,0.1,0.1,0.1,0.488112205330239,0.1,0.0331505392571664,0.0314841153653701,2
36,0.1,0.1,0.1,0.519571555550296,0.1,0.0332815690566019,0.0319260223405434,2
37,0.1,0.1,0.1,0.551477998709562,0.1,0.0338056882543436,0.0329044909266402,2
38,0.1,0.1,0.1,0.584371925773336,0.1,0.0348539266498271,0.0342678950788462,2
39,0.1,0.1,0.1,0.61863254871216,0.1,0.0478258767939357,0.0473232040834254,2
40,0.1,0.1,0.1,0.665948187064219,0.1,0.0627632739295759,0.0622370873150046,2
41,0.1,0.1,0.1,0.728171461309029,0.1,0.053853247567966,0.0530039338252802,2
42,0.1,0.1,0.1,0.781161115027767,0.1,0.0462535192007105,0.0453586121703136,2
43,0.1,0.1,0.1,0.826504960104023,0.1,0.0533291283702242,0.0524903201771219,2
44,0.1,0.1,0.1,0.878980864066073,0.1,0.0564738435566748,0.0556288387336424,2
45,0.1,0.1,0.1,0.934592944355781,0.1,0.028564496276926,0.0274321743993172,2
46,0.1,0.1,0.1,0.962013300266768,0.1,0.02528875129104,0.0236834603062518,2
47,0.1,0.1,0.1,0.985690622566495,0.1,0.0269921386837007,0.0246390765514368,2
48,0.1,0.1,0.1,1.01030989479907,0.1,0.0298747942712804,0.0274501611784648,2
49,0.1,0.1,0.1,1.03773553824811,0.1,0.0742938962798947,0.0726960479145028,2
50,0.1,0.1,0.1,1.11039515560479,0.1,0.0716733002911859,0.0698345089637553,2
51,0.1,0.1,0.1,1.18019474494401,0.1,0.0655148997177202,0.0631975702597219,2
52,0.1,0.1,0.1,1.24335524417516,0.1,0.0296127346724095,0.0269905628511179,2
53,0.1,0.1,0.1,1.27032929130651,0.1,0.0347228968503917,0.0316208501860335,2
54,0.1,0.1,0.1,1.30191954401949,0.1,0.0271231684831362,0.023776131916312,2
55,0.1,0.1,0.1,1.32567566187284,0.1,0.0292196452741032,0.0258048648166423,2
56,0.1,0.1,0.1,1.35145605107802,0.1,0.0525429495736116,0.049118246127125,2
57,0.1,0.1,0.1,1.400529923423,0.1,0.0267300790848298,0.0233140735720328,2
58,0.1,0.1,0.1,1.42382427147487,0.1,0.0513636813786926,0.0484151181709568,2
59,0.1,0.1,0.1,1.47220264815755,0.1,0.0360331948447461,0.032923887582344,2
60,0.1,0.1,0.1,1.50510287724614,0.1,0.0609288567374798,0.0577082805196331,2
61,0.1,0.1,0.1,1.56276320036197,0.1,0.0449432212063561,0.0413224329536937,2
62,0.1,0.1,0.1,1.60405317121126,0.1,0.0431088040142599,0.0394201687955896,2
63,0.1,0.1,0.1,1.64344266814517,0.1,0.0631563633278823,0.059574668523231,2
64,0.1,0.1,0.1,1.7029697450309,0.1,0.0891002636160995,0.0856434961620647,2
65,0.1,0.1,0.1,1.7885337613013,0.1,0.119630206884557,0.116413569376107,2
66,0.1,0.1,0.1,1.90486728463257,0.1,0.125395518059716,0.122409625484283,2
67,0.1,0.1,0.1,2.02719529771269,0.1,0.063680482525624,0.0604157799928244,2
68,0.1,0.1,0.1,2.08757468720395,0.1,0.0727215386866694,0.0694266426555935,2
69,0.1,0.1,0.1,2.15695480708979,0.1,0.0710181512940087,0.0679433275519525,2
70,0.1,0.1,0.1,2.22486109602,0.1,0.0771765518674744,0.0737645746251445,2
71,0.1,0.1,0.1,2.29857032394627,0.1,0.117795789692461,0.113123047043602,2
