"time","WLV","WST","WRT","WSO","LAI","Rd.LAI","RN.LAI","DVS"
1,0.1,0.1,0.1,0,0.1,0.0495292641865965,0.047925499473591,0
2,0.131025039390515,0.116705790441047,0.123865414915781,0,0.100065773083508,0.152091567789044,0.14963620829815,0
3,0.227874954404852,0.168855744679536,0.198365349542194,0,0.100271094903338,0.144643254717392,0.14008398076238,0
4,0.318475130698691,0.217640454991603,0.268057792845147,0,0.100463167277081,0.153204027370564,0.14661850947989,0
5,0.413274216119721,0.268686116372157,0.340980166245939,0,0.100664141338174,0.061848910054379,0.0551396110277934,0
6,0.448951096810744,0.287896744436554,0.368423920623649,0,0.100739776325239,0.104388372136189,0.098431380303875,0
7,0.512710741763817,0.322228860949748,0.417469801356782,0,0.100874946772539,0.136502581857412,0.130684042715097,0
8,0.597429498604493,0.367846653094727,0.48263807584961,0,0.101054550537041,0.154475920774362,0.147334387218636,0
9,0.692935180027215,0.419272789245423,0.556103984636319,0,0.101257022581658,0.111406976475179,0.101075749915605,0
10,0.758376757598588,0.454510561783855,0.606443659691221,0,0.101395758726109,0.0799477667674447,0.0683080883538829,0
11,0.802585466867482,0.478315251390182,0.640450359128832,0,0.101489481189759,0.0812157411367598,0.0686311739815995,0
12,0.84698587334148,0.502223162568489,0.674604517954983,0,0.101583610051484,0.167101024205104,0.15394781319342,0
13,0.946664062032841,0.555896033402298,0.751280047717569,0,0.10179492781151,0.145975118141249,0.129727123094887,0
14,1.03060632021666,0.601095710885895,0.815851015551279,0,0.101972885398859,0.161712830678937,0.140472789867794,0
15,1.1214060034677,0.649987848021068,0.885696925744384,0,0.102165380727351,0.135787753717308,0.113196334670753,0.00140000000000001
16,1.19457716092433,0.689387702036178,0.941982431480255,0,0.10232050358116,0.131566389454087,0.102750866428791,0.015745
17,1.26090932820912,0.725105022881835,0.993007175545478,0,0.102461127775803,0.147840489598524,0.120472238644659,0.02858
18,1.33874726734377,0.767017759338951,1.05288251334136,0,0.102626144206769,0.11259871062252,0.0854374199116775,0.040455
19,1.39396354168007,0.796749599366191,1.09535657052313,0,0.102743202708362,0.0391437455965302,0.0134666632286482,0.050945
20,1.40267700007863,0.8014414615808,1.10205923082972,0,0.102761675240167,0.0639055673715934,0.0427968531316583,0.05852
21,1.43037314618259,0.816354771021393,1.12336395860199,0,0.102820391069907,0.109170787718501,0.0888545020155642,0.065265
22,1.48790595285308,0.847333974613196,1.16761996373314,0,0.102942360620048,0.18597896227834,0.165017727314385,0.0719
23,1.59479881780905,0.904891671127949,1.2498452444685,0,0.103168973493755,0.182864399302291,0.155685767657538,0.081295
24,1.69556233998772,0.959148952301078,1.3273556461444,0,0.103382592160774,0.179306957235154,0.145266482627032,0.093065
25,1.78948819083512,1.00972436550089,1.39960619051787,0,0.10358171496457,0.18655620624253,0.146788132846465,0.10631
26,1.88464841269297,1.06049117764885,1.47164675825854,0,0.103783454634909,0.19166256468141,0.149406955856762,0.119695
27,1.98216349348273,1.11149946043956,1.54298375666141,0,0.103990186606183,0.191352077544181,0.145131528335838,0.133665
28,2.0775399765669,1.16036636185521,1.61025059943346,0,0.104192384750322,0.192667105919056,0.14630578237175,0.147025
29,2.17436147300292,1.20899294546029,1.6761339062261,0,0.104397646322766,0.17636805242958,0.131545458448237,0.15927
30,2.26199602506416,1.25220412155069,1.73380228401391,0,0.104583431573136,0.149028655773335,0.101352262104316,0.171865
31,2.32991220932745,1.2850605213344,1.77694656213919,0,0.104727413883774,0.165123117708887,0.123643414420524,0.18205
32,2.41328271749804,1.32477322079109,1.82838889631426,0,0.104904159361096,0.161412698065776,0.120535339037891,0.19155
33,2.49496735504194,1.36312163345432,1.87741594961104,0,0.105077330792689,0.196039641479587,0.154902609133324,0.200695
34,2.60044265885284,1.41194807797273,1.93900785605246,0,0.105300938436768,0.207464468779216,0.168377232693536,0.20855
35,2.71559277538274,1.46461029900163,2.00441072196299,0,0.105545056683811,0.205307072504685,0.161783369040369,0.21738
36,2.82667152135374,1.5147186145551,2.06552223242738,0,0.10578054362527,0.208379721772224,0.159934538874992,0.227225
37,2.93696474914511,1.56371586629945,2.1240373838506,0,0.106014365268187,0.169584330115702,0.116557333461895,0.23787
38,3.01771345013239,1.59899264871138,2.16517494281815,0,0.10618555251428,0.215401988198409,0.165479683031244,0.24729
39,3.13296467708089,1.64859906086655,2.22176218603296,0,0.106429885115411,0.205999559685708,0.150425162789099,0.25777
40,3.23688866753232,1.69446765515729,2.27129568962573,0,0.106650203975168,0.0654104470395695,0.0106760092455932,0.267605
41,3.24418017159121,1.69780650152444,2.27468539691158,0,0.106665661963773,0.138232091484279,0.0851622960454597,0.276965
42,3.30172225209197,1.72508162906174,2.30077829995569,0,0.106787651174435,0.153187218046608,0.100115701039734,0.286095
43,3.36864875091045,1.75787813127919,2.3303647174479,0,0.10692953535193,0.0788593808191454,0.00659275007888177,0.299415
44,3.37298795965558,1.76010913253227,2.33220868146687,0,0.10693873447447,0.199402206284455,0.121101341163241,0.313875
45,3.45112566693055,1.80238706815196,2.36392013592412,0,0.107104386413893,0.189198046722443,0.108173561629662,0.328525
46,3.51964695058778,1.84140385345775,2.39035003244622,0,0.107249651535246,0.159297712540082,0.0603262749618818,0.3458
47,3.55698518854606,1.86396458340159,2.40382917764065,0,0.107328808599717,0.1236281392609,0.0632881356072841,0.355795
48,3.59576976859501,1.88820705852657,2.4173298870803,0,0.107411031909421,0.0626322863561357,0.00660391138076444,0.364575
49,3.59977513315768,1.89078589142935,2.41868236319032,0,0.107419523282294,0.152239001369047,0.0871616559700834,0.3755
50,3.65181576241093,1.92553751258074,2.43556345078231,0,0.107529849416311,0.213965076780615,0.147824124491174,0.386465
51,3.73882057487454,1.98579205016732,2.46259052708396,0,0.107714299618734,0.226712083791244,0.162448398892202,0.396695
52,3.83314341531118,2.05335705831823,2.49064641341739,0,0.107914264040459,0.255615217588513,0.193798883647666,0.406025
53,3.94426958903663,2.13543317381133,2.52302529917859,0,0.108149851528757,0.245411519401355,0.169609683993883,0.417905
54,4.03983616408074,2.20880885300702,2.55053551619188,0,0.108352452667851,0.0895053530115484,0.0321699868621879,0.425425
55,4.05778178509755,2.22292847299751,2.5556604977794,0,0.108390497384407,0.139120451654766,0.0879039912237348,0.431255
56,4.10643703837437,2.26194100835365,2.56946798978186,0,0.108493646521353,0.135987159398337,0.0723967917341208,0.44004
57,4.14597140944499,2.29455382593297,2.58057751267918,0,0.108577459388023,0.127290591800859,0.0589460844646019,0.44973
58,4.1776977707558,2.32155638641565,2.58939322271937,0,0.108644719274002,0.155197350665233,0.105448556350308,0.45473
59,4.23410464638359,2.37034719630492,2.60497293827122,0,0.108764301850333,0.153230509518908,0.104719824745688,0.459175
60,4.2897648421434,2.41916686826069,2.62026545202525,0,0.108882301465344,0.182276769715414,0.128031123701583,0.465045
61,4.35718807346633,2.47944715487112,2.63865264553471,0,0.109025238715748,0.261011112109118,0.198701704074887,0.47269
62,4.46062433903342,2.57422250077826,2.66658538494135,0,0.109244523598751,0.246958512871468,0.173040735386915,0.48246
63,4.54929507177295,2.65805205162997,2.69022071728016,0,0.109432505552158,0.131120222488471,0.071029309315728,0.488955
64,4.58533687613759,2.69284212648879,2.69974179395567,0,0.109508914177411,0.181288493670125,0.111076197701935,0.49758
65,4.64091752512659,2.74799446233571,2.71424421216047,0,0.109626745153268,0.205970192541314,0.131377940434249,0.5069
66,4.70516230541456,2.81471507158939,2.73099860952914,0,0.109762944087479,0.280215222990524,0.196608516888641,0.51766
67,4.79839312669276,2.91742705836503,2.75543298695417,0,0.109960593428588,0.183017430149638,0.0805880814142771,0.53105
68,4.83509311251147,2.96095163213122,2.76511488731996,0,0.110038397398524,0.0980402829154607,0.0268850502158113,0.539065
69,4.84705925968358,2.97578619982196,2.76828488820534,0,0.110063765630529,0.242998575447939,0.156786247806261,0.54981
70,4.91452860980997,3.06458048484334,2.78626408040355,0,0.110206800652797,0.235961731021855,0.159469823884119,0.558605
71,4.98126936968168,3.15685283029426,2.80414007547457,0,0.110348291063725,0.212614865426052,0.140337148330497,0.56636
