"time","WLV","WST","WRT","WSO","LAI","Rd.LAI","RN.LAI","DVS"
1,0.1,0.1,0.1,0,0.1,0.0741628664804593,0.0723772001784466,0
2,0.146841847166066,0.12522253308942,0.136032190127743,0,0.100099304715992,0.153714890499912,0.150976572145494,0
3,0.244554807651167,0.177837204119859,0.211196005885513,0,0.100306456192221,0.146532615992529,0.14154649425754,0
4,0.336089127514828,0.227124914815677,0.281607021165253,0,0.100500508950332,0.154839265424512,0.147347582469424,0
5,0.431307580333361,0.278396389410272,0.354851984871816,0,0.100702372070307,0.0555394123232007,0.047562285789306,0
6,0.462061833883827,0.294956372091292,0.37850910298756,0,0.100767571087834,0.134645559929013,0.128509608643578,0
7,0.545322899203519,0.339789253417279,0.442556076310399,0,0.100944084546312,0.131039683992862,0.124445314793444,0
8,0.625977225642436,0.383218506115158,0.504597865878797,0,0.101115071718362,0.152181611665291,0.144502992572319,0
9,0.719632794505821,0.433648427810827,0.576640611158324,0,0.101313621524352,0.109476886495025,0.0990884253171589,0
10,0.783793296322612,0.468196390327561,0.625994843325086,0,0.101449641788204,0.0952692575484958,0.0825954267696212,0
11,0.837242786800874,0.496976885200471,0.667109836000672,0,0.101562954708018,0.11306358356709,0.100691161229117,0
12,0.902432916394905,0.53207926267418,0.717256089534542,0,0.101701157782757,0.128529814493195,0.115966147592616,0
13,0.977544005352244,0.57252369518967,0.775033850270957,0,0.101860393291347,0.13979665062224,0.124659594585627,0
14,1.05825427205406,0.61598306956757,0.837118670810813,0,0.102031499056755,0.156592136019449,0.136225198349562,0
15,1.14634535651366,0.663416730430433,0.904881043472047,0,0.102218252155809,0.11296785513564,0.0889612275028772,0.003895
16,1.20382479726578,0.694367198527726,0.94909599789675,0,0.102340108570204,0.14190905409316,0.114724620784636,0.01729
17,1.27792793033313,0.734268885563996,1.00609840794856,0,0.102497207212306,0.15943236412558,0.130422743427316,0.030775
18,1.36217268292904,0.779631444654096,1.07090206379157,0,0.10267580608781,0.123674718647942,0.0938667916224769,0.043745
19,1.42280860632903,0.812281557254095,1.11754508179156,0,0.102804354245418,0.0522217764578269,0.0234411632512152,0.05559
20,1.43795270321498,0.820436070961914,1.12919438708845,0,0.102836459730816,0.110399024485347,0.0864137049419509,0.064655
21,1.49386140387416,0.850540755932242,1.1722010799032,0,0.102954986176213,0.0966396888390689,0.0762631799124183,0.070825
22,1.5432477666073,0.877133412788547,1.21019058969792,0,0.103059685265208,0.18456544378953,0.164687173390369,0.076175
23,1.64997925816351,0.934604215934197,1.29229173704885,0,0.103285956027307,0.18333579623626,0.157969355114896,0.08409
24,1.75227321332486,0.989685576405695,1.37097939486528,0,0.103502819212249,0.174902801040058,0.143341742168247,0.0943
