"time","WLV","WST","WRT","WSO","LAI","Rd.LAI","RN.LAI","DVS"
1,0.1,0.1,0.1,0,0.1,0.0744249260793301,0.0702522801642002,0
2,0.145178492357513,0.124326880500199,0.134752686428856,0,0.100095778403798,0.0886584592154109,0.0828650386848181,0
3,0.19846530102724,0.153019777476206,0.175742539251723,0,0.100208746438178,0.11199478794729,0.10485281983176,0
4,0.265953863542271,0.189359772676607,0.227656818109439,0,0.10035182219071,0.134369547829253,0.125069387875497,0
5,0.346467328572563,0.232713176923687,0.289590252748125,0,0.100522510736574,0.0828355298505038,0.0706539479659213,0
6,0.39193096606139,0.257193597109979,0.324562281585685,0,0.10061889364805,0.129048357101785,0.114633902203832,0
7,0.465665336134355,0.29689671945696,0.381281027795658,0,0.100775210512605,0.112344900346922,0.0955434866994281,0.01634
8,0.527121937443117,0.329988735546294,0.428555336494705,0,0.100905498507379,0.104554950605234,0.0869110116429771,0.0351
9,0.583064888872329,0.360111863238946,0.471588376055638,0,0.101024097564409,0.151122480305897,0.131751508419445,0.053805
10,0.667900547352926,0.405792602420806,0.536846574886866,0,0.101203949160388,0.1175806544922,0.0939442752446224,0.073485
11,0.728330971759238,0.438332061716513,0.583331516737875,0,0.101332061660129,0.0319861664140388,0.006267279689303,0.09317
12,0.732362505948363,0.440502868762478,0.586432650196471,0,0.10134060851261,0.145210492565516,0.120415135060139,0.11225
13,0.810365401101765,0.481755236053831,0.644599357725916,0,0.101505974650336,0.140122558518022,0.1106603769742,0.13241
14,0.882730060460585,0.518902135183817,0.695808697947028,0,0.101659387728176,0.0583146478544965,0.026441144684848,0.15253
15,0.900194044180777,0.527601140733209,0.707516070496934,0,0.101696411373663,0.076581656323077,0.0443629360209061,0.17254
16,0.929789131855349,0.541903900926478,0.726280534749428,0,0.101759152959533,0.132332318911308,0.10068477452714,0.19186
17,0.997659293128446,0.573751869200503,0.766979465676566,0,0.101903037701432,0.129444469553159,0.098015316866557,0.21015
18,1.06436926318473,0.604186615466003,0.804657152285838,0,0.102044462837952,0.118393964412845,0.0872332953542132,0.22747
19,1.12428330376361,0.63079254201433,0.836413712185679,0,0.102171480603979,0.160412751219514,0.127852206937889,0.244715
20,1.21285815281386,0.66907298888697,0.880348150787923,0,0.102359259283965,0.164317344152199,0.127764916041372,0.262655
21,1.30028638607429,0.708373190889002,0.921514748273984,0,0.102544607138477,0.101636711774404,0.0593771652282396,0.28179
22,1.3399748393654,0.72752013985372,0.939274292609011,0,0.102628746659455,0.148746822438686,0.107810041269298,0.300075
23,1.41053166806673,0.763877081796779,0.969200758503492,0,0.102778327136301,0.0719891572007902,0.0264647094627565,0.31922
24,1.42743854244938,0.773197719087392,0.975939536789453,0,0.102814169709993,0.165294529301538,0.116596789040263,0.33918
25,1.50008995090312,0.816113147079703,1.00286423746025,0,0.102968190695915,0.134800145687462,0.0855460604785978,0.358645
26,1.55209199824226,0.848933479367264,1.02079038599019,0,0.103078435036274,0.135344874510813,0.0846323433605882,0.378075
27,1.60224236478916,0.882710824459895,1.03689846421387,0,0.103184753813353,0.103062203938568,0.0499052127269369,0.397755
28,1.63103161972808,0.90340498741265,1.04542173684082,0,0.103245787033823,0.163264122622857,0.112370238789924,0.416565
29,1.69423572596937,0.951721558143627,1.06364131045525,0,0.103379779739055,0.129368249814485,0.0780153429481215,0.43498
30,1.73698512744711,0.9864149465671,1.07572287640597,0,0.103470408470188,0.161983159396589,0.107706399179578,0.453845
31,1.79438732264679,1.03592203334261,1.09159486016879,0,0.103592101124011,0.180065929851255,0.128118873526615,0.471615
32,1.86090822143595,1.09666360650612,1.10958381292905,0,0.103733125429444,0.164011025949364,0.105385722285806,0.490605
33,1.91400503549858,1.14818805100623,1.12357769545268,0,0.103845690675257,0.167445438488845,0.107309863127775,0.50955
34,1.96588325457258,1.20285436656244,1.13712320454871,0,0.103955672499694,0.170746524183948,0.114282608068387,0.527185
35,2.01843367103478,1.26386259864333,1.15095969804906,0,0.104067079382594,0.101464759119036,0.0401327785784574,0.545605
36,2.03587941903278,1.28628900267246,1.15559769597718,0,0.104104064368349,0.158039808780478,0.0922014800966185,0.56491
37,2.07351233129307,1.34020318652302,1.16571601923246,0,0.104183846142341,0.151340059226561,0.0822510912166041,0.584605
38,2.10487989802504,1.39050010875167,1.17425963837045,0,0.104250345383813,0.0620741612371033,0,0.6043
39,2.10487990606196,1.39050012163862,1.17425964055948,0,0.104250345400851,0.0388816174843436,0,0.623805
40,2.10488083109579,1.39050223175187,1.1742599053624,0,0.104250347361923,0.187996034631979,0.122287442125739,0.642515
41,2.14191982589958,1.4749926415422,1.18486279771835,0,0.104328870030907,0.107173150370915,0.0376657735711603,0.66168
42,2.15256698173384,1.50176612563227,1.18791242989234,0,0.104351442001276,0.135599044666325,0.0605544640686963,0.681845
43,2.1684782934785,1.54598321149431,1.19244882932358,0,0.104385173982174,0.109551357927036,0.0363296262563541,0.70149
44,2.17732930051425,1.57322353033141,1.19496445999444,0,0.10440393811709,0.11626489370572,0.0421421430896126,0.721215
45,2.18678180487435,1.60563547877906,1.19771745660091,0,0.104423977426333,0.124895272953158,0.0539195004920235,0.740205
46,2.19787776773495,1.64813443839352,1.20103813685682,0,0.104447500867598,0.133396493109027,0.0631009181845431,0.75892
47,2.20970723576259,1.69903632663395,1.20469020283579,0,0.104472579339816,0.171432501454034,0.0961964010032774,0.77846
48,2.22589370304728,1.77846796584758,1.20988302233545,0,0.10450689465046,0.208136611514172,0.134913861488976,0.79738
49,2.24609820141436,1.89241460458349,1.21666082341324,0,0.104549728186998,0.167724590483458,0.0940736816145156,0.816075
50,2.25846299782823,1.97360991626671,1.22103795764839,0,0.104575941555396,0.17187052564768,0.099595970031329,0.83429
51,2.26977600934565,2.06137101095303,1.22531221010666,0,0.104599925139813,0.144808458901448,0.0675185012417588,0.85326
52,2.27618676251655,2.12211273236975,1.22795450557439,0,0.104613515936535,0.15523011923231,0.0772416509567803,0.87222
53,2.28208322570788,2.1930390710062,1.23068597815105,0,0.104626016438501,0.143885136329955,0.067341776032982,0.890755
54,2.28599992612101,2.2561192910496,1.2328197157284,0,0.104634319843376,0.152247930761257,0.0806007279950569,0.908205
55,2.28930865046748,2.33302793990921,1.23516044244816,0,0.104641334338991,0.126105622612473,0.0506986987233721,0.92624
56,2.29049284307188,2.3823144925607,1.23654220926347,0,0.104643844827312,0.166638556251835,0.0868568111672156,0.944995
57,2.29091963108739,2.46830620865958,1.23874598432914,3.23052824814729e-06,0.104644749617905,0.193477611026114,0.116994455542139,0.962985
58,2.2909196329275,2.55454002688187,1.24150687772431,0.0302556158856711,0.104644749621806,0.191834489071038,0.11783486154901,0.98031
59,2.2909196329275,2.60077697217322,1.24408622273832,0.101426684971806,0.104644749621806,0.0887285859514866,0.0160283018209852,0.997215
60,2.2909196329275,2.60166776982993,1.24441030090497,0.116517096268112,0.104644749621806,0.184303513411575,0.111025787573076,1.01496315789474
61,2.2909196329275,2.60166777541935,1.24645861870961,0.227214995268312,0.104644749621806,0.158013562018542,0.0846185179673707,1.03274736842105
62,2.2909196329275,2.60166777541935,1.24786982263832,0.311589338172536,0.104644749621806,0.210867318464953,0.13508590545153,1.05091578947368
63,2.2909196329275,2.60166777541935,1.24987773121722,0.446272185091273,0.104644749621806,0.102147415308347,0.0235439560145817,1.06947894736842
64,2.2909196329275,2.60166777541935,1.25018408858848,0.469744090715255,0.104644749621806,0.205253318427899,0.128818674314845,1.08758947368421
65,2.2909196329275,2.60166777541935,1.25162778379912,0.598174520623701,0.104644749621806,0.225244635633018,0.149270101930607,1.10545789473684
66,2.2909196329275,2.60166777541935,1.25303488930202,0.747006830623888,0.104644749621806,0.240443513782115,0.162179071437008,1.12360526315789
67,2.2909196329275,2.60166777541935,1.25427014401033,0.908707468415202,0.104644749621806,0.241812782083835,0.165635709986408,1.14115789473684
68,2.2909196329275,2.60166777541935,1.2552422773148,1.07386640481201,0.104644749621806,0.203610196465834,0.119372332924219,1.16005263157895
