"time","WLV","WST","WRT","WSO","LAI","Rd.LAI","RN.LAI","DVS","WSO.WSO"
1,0.1,0.1,0.1,0,0.1,0.0828108332431983,0.0807731038163749,0,0
2,0.152245206416307,0.128132034224165,0.140188620320236,0,0.100110759837603,0.0539111218746208,0.0508627860081029,0,0
3,0.133441901047691,0.118007177487218,0.125724539267455,0,0.100070896830221,0.090734994660625,0.0880855318332514,0,0
4,0.157303040788558,0.130855483501531,0.144079262145045,0,0.100121482446472,0.125018584929444,0.122172351025299,0,0
5,0.179564019280938,0.142842164228197,0.161203091754567,0,0.100168675720876,0.0569600001077659,0.052994924399864,0,0
6,0.135196110217318,0.118951751655479,0.127073930936399,0,0.100074615753661,0.105424228607422,0.102307567011236,0,0
7,0.16652064873036,0.135818810854809,0.151169729792585,0,0.100141023775308,0.0472352713043984,0.0436939195617641,0,0
8,0.129004540383301,0.115617829437162,0.122311184910231,0,0.100061489625613,0.114850585928242,0.112451270974775,0,0
9,0.173022849319053,0.139319995787183,0.156171422553118,0,0.100154808440556,0.10865563389001,0.105928292614959,0,0
10,0.169148249896222,0.137233673021043,0.153190961458632,0,0.10014659428978,0.0632461932642812,0.0600917557774598,0,0
11,0.139550240744102,0.121296283477593,0.130423262110847,0,0.100083846510377,0.105827072950515,0.103415983286269,0,0
12,0.16726911142898,0.136221829230989,0.151745470329984,0,0.100142610516229,0.103656772269849,0.101253418316764,0,0
13,0.16605035128317,0.135565573767861,0.150807962525515,0,0.10014002674472,0.0515646730464725,0.0486704502087201,0,0
14,0.132103709545392,0.117286612832134,0.124695161188763,0,0.100068059864236,0.0504797861888316,0.0481232967629232,0.00665000000000001,0
15,0.131432599869881,0.116925246083782,0.124178922976832,0,0.100066637111724,0.0287140796553469,0.026160008797777,0.015995,0
16,0.117240772373811,0.109283492816668,0.113262132595239,0,0.100036550437433,0.0669799732027546,0.0646662080529477,0.025325,0
17,0.141994994517038,0.122612689355328,0.132303841936183,0,0.100089029388376,0.062030632749248,0.0594521944142453,0.03384,0
18,0.138854781510699,0.120921805428838,0.129888293469768,0,0.100082372136803,0.0605841497689729,0.0584317894056428,0.04003,0
19,0.138136610886367,0.120535098169582,0.129335854527974,0,0.100080849615079,0.0683200781903197,0.0663538637381498,0.04498,0
20,0.143247491710721,0.123287110921157,0.133267301315939,0,0.100091684682427,0.0851139892594129,0.0830986175750039,0.04983,0
21,0.154123427575112,0.129143384078907,0.14163340582701,0,0.100114741666459,0.0678178239321811,0.0657146258024548,0.05437,0
22,0.142939073638927,0.12312103965173,0.133030056645328,0,0.100091030836114,0.0323929462193175,0.0304424608310207,0.058775,0
23,0.120029539741727,0.110785136784007,0.115407338262867,0,0.100042462624252,0.0661973114093371,0.0646094653661862,0.062385,0
24,0.141985918201486,0.122607802108493,0.13229686015499,0,0.100089010146587,0.0275400220877291,0.0256863100211535,0.06614,0
25,0.116929872197388,0.109116085029363,0.113022978613375,0,0.100035891329058,0.0500708144655735,0.0481194374319269,0.073045,0
26,0.131287357318772,0.116847038556262,0.124067197937517,0,0.100066329197516,0.0456277163745877,0.0435765811317499,0.07924,0
27,0.128462580338044,0.115326004797408,0.121894292567726,0,0.100060340670317,0.0426096170812317,0.0402770828059908,0.08756,0
28,0.126325947119757,0.114175509987561,0.120250728553659,0,0.100055811007894,0.0281866624034646,0.0256461566770938,0.09732,0
29,0.116860450500473,0.109078703453978,0.112969575686986,0,0.100035744155061,0.0538719250488187,0.0517138188340125,0.105685,0
30,0.133711184584062,0.118001412448409,0.125562308977369,0,0.100071467711318,0.0617578309813736,0.0598797665989777,0.110395,0
31,0.139227860352288,0.120802679359332,0.129391241236606,0,0.100083163063947,0.0292432229291254,0.0271679883788421,0.116055,0
32,0.118052030541105,0.109493094858508,0.113329465605737,0,0.100038270304747,0.0304102015734593,0.028615522356432,0.12166,0
33,0.118875068342972,0.109844486962914,0.113737705470504,0,0.100040015144887,0.0187445362911195,0.0165555409296005,0.130055,0
34,0.111059619178958,0.105696910320656,0.107874639737179,0,0.100023446392659,0.0249013256245339,0.0230147536882575,0.13713,0
35,0.115274956660291,0.107785862073881,0.110674135917848,0,0.10003238290812,0.0283113295385457,0.0263851932454495,0.14407,0
36,0.117592313054201,0.108874631006823,0.112067073786905,0,0.100037295703675,0.0123212583035982,0.0103935377159937,0.150795,0
37,0.107055831485342,0.103523707975584,0.104752377223243,0,0.100014958362749,0.0158569068745507,0.0140902394363111,0.15737,0
38,0.109447997313234,0.104671965311056,0.106249916489809,0,0.100020029754304,0.0115328632983448,0.00972762663106294,0.164005,0
39,0.106584812493558,0.103223708953825,0.104276440065415,0,0.100013959802486,0.0186087517598243,0.017108036093652,0.168285,0
