"time","WLV","WST","WRT","WSO","LAI","Rd.LAI","RN.LAI","DVS","WSO.WSO"
1,0.1,0.1,0.1,0,0.1,0.0904105616104539,0.0885689580845813,0,0
2,0.157318631503823,0.130863878502059,0.144091255002941,0,0.100121515498788,0.0846138647512881,0.0817703398860204,0,0
3,0.153432581710494,0.128771390151805,0.141101985931149,0,0.100113277073226,0.05456830620255,0.0521974963932779,0,0
4,0.134222163674222,0.118427318901504,0.126324741287863,0,0.100072550986989,0.0622829677913669,0.0603770663502425,0,0
5,0.139348727488516,0.12118777633997,0.130268251914243,0,0.100083419302276,0.0350132731757192,0.0327625750145333,0,0
6,0.121543468574225,0.111600329232275,0.11657189890325,0,0.100045672153377,0.0486335980630434,0.0458624511885189,0,0
7,0.129889613821454,0.116094407442321,0.122992010631888,0,0.100063365981301,0.0727662499552057,0.0698500011268572,0,0
8,0.145483352230917,0.124491035816648,0.134987194023783,0,0.10009642470673,0.0330504019114035,0.0302277313746814,0,0
9,0.120024514293525,0.110782430773436,0.11540347253348,0,0.100042451970302,0.112732043424715,0.110623831935638,0,0
10,0.171772625260599,0.138646798217245,0.155209711738922,0,0.100152157965552,0.0771592660149656,0.0740303444270148,0,0
11,0.14857124438857,0.126153746978461,0.137362495683515,0,0.100102971038104,0.0312162492008947,0.0286950932150792,0,0
12,0.119009946119428,0.110236124833538,0.114623035476483,0,0.100040301085773,0.0977864535242986,0.0958987950392355,0,0
13,0.162243047507466,0.133515487119405,0.147879267313435,0,0.100131955260716,0.0489366892658592,0.0466361108903969,0,0
14,0.130664739778343,0.116511782957569,0.123588261367956,0,0.10006500924833,0.0224202288507361,0.0200704753098601,0,0
15,0.113280571577526,0.107151077003283,0.110215824290404,0,0.100028154811744,0.0304072179605053,0.0282802646681544,0,0
16,0.118420878576008,0.10991893461785,0.114169906596929,0,0.100039052262581,0.0271334459848475,0.024712598748474,0.00918000000000001,0
17,0.116175898227163,0.108710099045396,0.11244299863628,0,0.100034292904242,0.0390598727149174,0.0369154629335494,0.017525,0
18,0.124035393115642,0.112942134754576,0.118488763935109,0,0.100050955033405,0.0409015095102283,0.0389689693630347,0.023565,0
19,0.125419303763118,0.11368731741091,0.119553310587014,0,0.100053888923978,0.0711863832760405,0.0695406783185098,0.02715,0
20,0.145217577900932,0.12434792656204,0.134782752231486,0,0.10009586126515,0.0668873528368347,0.0648442599185591,0.032025,0
21,0.142318871406234,0.122787084603357,0.132552978004795,0,0.100089716007381,0.0452446315941527,0.0431978422743461,0.03718,0
