"x";"y";"Land_Use"
4975000;3075000;"12"
5025000;3075000;"12"
5075000;3075000;"12"
5125000;3075000;"12"
5175000;3075000;"12"
5225000;3075000;"12"
3725000;3025000;"12"
3775000;3025000;"12"
3825000;3025000;"12"
3875000;3025000;"12"
4225000;3025000;"12"
4325000;3025000;"12"
4375000;3025000;"12"
4575000;3025000;"12"
4625000;3025000;"12"
4675000;3025000;"12"
4725000;3025000;"12"
4775000;3025000;"12"
4875000;3025000;"12"
4925000;3025000;"12"
4975000;3025000;"12"
5025000;3025000;"12"
5075000;3025000;"12"
5125000;3025000;"12"
5175000;3025000;"12"
3625000;2975000;"12"
3675000;2975000;"12"
3725000;2975000;"12"
3775000;2975000;"12"
3825000;2975000;"12"
3875000;2975000;"12"
4075000;2975000;"12"
4175000;2975000;"12"
4225000;2975000;"12"
4325000;2975000;"12"
4375000;2975000;"12"
4425000;2975000;"12"
4575000;2975000;"12"
4625000;2975000;"12"
4675000;2975000;"12"
4725000;2975000;"12"
4775000;2975000;"12"
4825000;2975000;"12"
4875000;2975000;"12"
3275000;2925000;"12"
3575000;2925000;"12"
3675000;2925000;"12"
3725000;2925000;"12"
3775000;2925000;"12"
3825000;2925000;"12"
3875000;2925000;"12"
3925000;2925000;"12"
3975000;2925000;"12"
4025000;2925000;"12"
4075000;2925000;"12"
4175000;2925000;"12"
4225000;2925000;"12"
4275000;2925000;"12"
4325000;2925000;"12"
4375000;2925000;"12"
4575000;2925000;"12"
4625000;2925000;"12"
4675000;2925000;"12"
4725000;2925000;"12"
4775000;2925000;"12"
4825000;2925000;"12"
4875000;2925000;"12"
5125000;2925000;"12"
5175000;2925000;"12"
3275000;2875000;"12"
3325000;2875000;"12"
3375000;2875000;"12"
3425000;2875000;"12"
3475000;2875000;"12"
3625000;2875000;"12"
3675000;2875000;"12"
3725000;2875000;"12"
3825000;2875000;"12"
3875000;2875000;"12"
3925000;2875000;"12"
3975000;2875000;"12"
4025000;2875000;"12"
4075000;2875000;"12"
4125000;2875000;"12"
4175000;2875000;"12"
4225000;2875000;"12"
4275000;2875000;"12"
4325000;2875000;"12"
4375000;2875000;"12"
4425000;2875000;"12"
4475000;2875000;"12"
4525000;2875000;"12"
4725000;2875000;"12"
4775000;2875000;"12"
4825000;2875000;"12"
4875000;2875000;"12"
5125000;2875000;"12"
5175000;2875000;"12"
5225000;2875000;"12"
5525000;2875000;"12"
5575000;2875000;"12"
3375000;2825000;"12"
3425000;2825000;"12"
3475000;2825000;"12"
3525000;2825000;"12"
3575000;2825000;"12"
3625000;2825000;"12"
3675000;2825000;"12"
3725000;2825000;"12"
3775000;2825000;"12"
3825000;2825000;"12"
3875000;2825000;"12"
3925000;2825000;"12"
3975000;2825000;"12"
4075000;2825000;"12"
4325000;2825000;"12"
4375000;2825000;"12"
4425000;2825000;"12"
4475000;2825000;"12"
4525000;2825000;"12"
4575000;2825000;"12"
4725000;2825000;"12"
4775000;2825000;"12"
4825000;2825000;"12"
4875000;2825000;"12"
4925000;2825000;"12"
4975000;2825000;"12"
5125000;2825000;"12"
5175000;2825000;"12"
5225000;2825000;"12"
5275000;2825000;"12"
5575000;2825000;"12"
5625000;2825000;"12"
3425000;2775000;"12"
3475000;2775000;"12"
3525000;2775000;"12"
3575000;2775000;"12"
3625000;2775000;"12"
3675000;2775000;"12"
3775000;2775000;"12"
3825000;2775000;"12"
3875000;2775000;"12"
4125000;2775000;"12"
4275000;2775000;"12"
4325000;2775000;"12"
4425000;2775000;"12"
4525000;2775000;"12"
4575000;2775000;"12"
4625000;2775000;"12"
4675000;2775000;"12"
4825000;2775000;"12"
4875000;2775000;"12"
4925000;2775000;"12"
4975000;2775000;"12"
5025000;2775000;"12"
5075000;2775000;"12"
5125000;2775000;"12"
5175000;2775000;"12"
5225000;2775000;"12"
5275000;2775000;"12"
5575000;2775000;"12"
5625000;2775000;"12"
5675000;2775000;"12"
3425000;2725000;"12"
3475000;2725000;"12"
3525000;2725000;"12"
3575000;2725000;"12"
3625000;2725000;"12"
3675000;2725000;"12"
3775000;2725000;"12"
3825000;2725000;"12"
3925000;2725000;"12"
3975000;2725000;"12"
4125000;2725000;"12"
4225000;2725000;"12"
4275000;2725000;"12"
4825000;2725000;"12"
4875000;2725000;"12"
4925000;2725000;"12"
4975000;2725000;"12"
5025000;2725000;"12"
5075000;2725000;"12"
5125000;2725000;"12"
5175000;2725000;"12"
5225000;2725000;"12"
5375000;2725000;"12"
5425000;2725000;"12"
5625000;2725000;"12"
5675000;2725000;"12"
3475000;2675000;"12"
3525000;2675000;"12"
3575000;2675000;"12"
3625000;2675000;"12"
3675000;2675000;"12"
3725000;2675000;"12"
3775000;2675000;"12"
3925000;2675000;"12"
3975000;2675000;"12"
4125000;2675000;"12"
4175000;2675000;"12"
4775000;2675000;"12"
4825000;2675000;"12"
4875000;2675000;"12"
4925000;2675000;"12"
4975000;2675000;"12"
5025000;2675000;"12"
5075000;2675000;"12"
5125000;2675000;"12"
5175000;2675000;"12"
5225000;2675000;"12"
5375000;2675000;"12"
5675000;2675000;"12"
3475000;2625000;"12"
3525000;2625000;"12"
3575000;2625000;"12"
4075000;2625000;"12"
4125000;2625000;"12"
4775000;2625000;"12"
4825000;2625000;"12"
4875000;2625000;"12"
4925000;2625000;"12"
4975000;2625000;"12"
5025000;2625000;"12"
5075000;2625000;"12"
5125000;2625000;"12"
5175000;2625000;"12"
5475000;2625000;"12"
5675000;2625000;"12"
5725000;2625000;"12"
5775000;2625000;"12"
3475000;2575000;"12"
3525000;2575000;"12"
3575000;2575000;"12"
3925000;2575000;"12"
4025000;2575000;"12"
4875000;2575000;"12"
4925000;2575000;"12"
4975000;2575000;"12"
5025000;2575000;"12"
5075000;2575000;"12"
5125000;2575000;"12"
5175000;2575000;"12"
5225000;2575000;"12"
5575000;2575000;"12"
5625000;2575000;"12"
5675000;2575000;"12"
5725000;2575000;"12"
5775000;2575000;"12"
7025000;2575000;"12"
3525000;2525000;"12"
3575000;2525000;"12"
3925000;2525000;"12"
4475000;2525000;"12"
4525000;2525000;"12"
4575000;2525000;"12"
4975000;2525000;"12"
5025000;2525000;"12"
5075000;2525000;"12"
5125000;2525000;"12"
5175000;2525000;"12"
5225000;2525000;"12"
5525000;2525000;"12"
5575000;2525000;"12"
5625000;2525000;"12"
5675000;2525000;"12"
5725000;2525000;"12"
5775000;2525000;"12"
7025000;2525000;"12"
3925000;2475000;"12"
4275000;2475000;"12"
4325000;2475000;"12"
4375000;2475000;"12"
4425000;2475000;"12"
4475000;2475000;"12"
4975000;2475000;"12"
5025000;2475000;"12"
5075000;2475000;"12"
5125000;2475000;"12"
5175000;2475000;"12"
5225000;2475000;"12"
5375000;2475000;"12"
5425000;2475000;"12"
5475000;2475000;"12"
5525000;2475000;"12"
5575000;2475000;"12"
5625000;2475000;"12"
5675000;2475000;"12"
5725000;2475000;"12"
5775000;2475000;"12"
7025000;2475000;"12"
7075000;2475000;"12"
3525000;2425000;"12"
3575000;2425000;"12"
4125000;2425000;"12"
4175000;2425000;"12"
4225000;2425000;"12"
4275000;2425000;"12"
4325000;2425000;"12"
4375000;2425000;"12"
4425000;2425000;"12"
4475000;2425000;"12"
5325000;2425000;"12"
5375000;2425000;"12"
5425000;2425000;"12"
5475000;2425000;"12"
5525000;2425000;"12"
5575000;2425000;"12"
5625000;2425000;"12"
5675000;2425000;"12"
5725000;2425000;"12"
5775000;2425000;"12"
3525000;2375000;"12"
3575000;2375000;"12"
3625000;2375000;"12"
4375000;2375000;"12"
4425000;2375000;"12"
4475000;2375000;"12"
5375000;2375000;"12"
5425000;2375000;"12"
5475000;2375000;"12"
5525000;2375000;"12"
5575000;2375000;"12"
5625000;2375000;"12"
5675000;2375000;"12"
6275000;2375000;"12"
6425000;2375000;"12"
7025000;2375000;"12"
7075000;2375000;"12"
3425000;2325000;"12"
3475000;2325000;"12"
3525000;2325000;"12"
3575000;2325000;"12"
3625000;2325000;"12"
3675000;2325000;"12"
4525000;2325000;"12"
5675000;2325000;"12"
5725000;2325000;"12"
7025000;2325000;"12"
3075000;2275000;"12"
3125000;2275000;"12"
3175000;2275000;"12"
3225000;2275000;"12"
3275000;2275000;"12"
3625000;2275000;"12"
3675000;2275000;"12"
4375000;2275000;"12"
4575000;2275000;"12"
5375000;2275000;"12"
5525000;2275000;"12"
5575000;2275000;"12"
5625000;2275000;"12"
5675000;2275000;"12"
6325000;2275000;"12"
6425000;2275000;"12"
3025000;2225000;"12"
3075000;2225000;"12"
3125000;2225000;"12"
3175000;2225000;"12"
3325000;2225000;"12"
3375000;2225000;"12"
4475000;2225000;"12"
4525000;2225000;"12"
4625000;2225000;"12"
5525000;2225000;"12"
5575000;2225000;"12"
5625000;2225000;"12"
5675000;2225000;"12"
5725000;2225000;"12"
5775000;2225000;"12"
6325000;2225000;"12"
6375000;2225000;"12"
6425000;2225000;"12"
6475000;2225000;"12"
6575000;2225000;"12"
6975000;2225000;"12"
7025000;2225000;"12"
2975000;2175000;"12"
3025000;2175000;"12"
3075000;2175000;"12"
3125000;2175000;"12"
3175000;2175000;"12"
3325000;2175000;"12"
3425000;2175000;"12"
3475000;2175000;"12"
4425000;2175000;"12"
4475000;2175000;"12"
5325000;2175000;"12"
5675000;2175000;"12"
5725000;2175000;"12"
5775000;2175000;"12"
6225000;2175000;"12"
6275000;2175000;"12"
6325000;2175000;"12"
6375000;2175000;"12"
6425000;2175000;"12"
6525000;2175000;"12"
6575000;2175000;"12"
6725000;2175000;"12"
3025000;2125000;"12"
3075000;2125000;"12"
3125000;2125000;"12"
3175000;2125000;"12"
3225000;2125000;"12"
3275000;2125000;"12"
3325000;2125000;"12"
3375000;2125000;"12"
3425000;2125000;"12"
3575000;2125000;"12"
4475000;2125000;"12"
4525000;2125000;"12"
4675000;2125000;"12"
5725000;2125000;"12"
5975000;2125000;"12"
6025000;2125000;"12"
6175000;2125000;"12"
6225000;2125000;"12"
6275000;2125000;"12"
6425000;2125000;"12"
6475000;2125000;"12"
6525000;2125000;"12"
3075000;2075000;"12"
3125000;2075000;"12"
3225000;2075000;"12"
3325000;2075000;"12"
3375000;2075000;"12"
3425000;2075000;"12"
3475000;2075000;"12"
3575000;2075000;"12"
4525000;2075000;"12"
4725000;2075000;"12"
4775000;2075000;"12"
5275000;2075000;"12"
5375000;2075000;"12"
5425000;2075000;"12"
5475000;2075000;"12"
5825000;2075000;"12"
6025000;2075000;"12"
6075000;2075000;"12"
6125000;2075000;"12"
6175000;2075000;"12"
6225000;2075000;"12"
6275000;2075000;"12"
6325000;2075000;"12"
6375000;2075000;"12"
6425000;2075000;"12"
6525000;2075000;"12"
3125000;2025000;"12"
3175000;2025000;"12"
3225000;2025000;"12"
3375000;2025000;"12"
4725000;2025000;"12"
4775000;2025000;"12"
4825000;2025000;"12"
5125000;2025000;"12"
5825000;2025000;"12"
6025000;2025000;"12"
6075000;2025000;"12"
6125000;2025000;"12"
6175000;2025000;"12"
6225000;2025000;"12"
6275000;2025000;"12"
6375000;2025000;"12"
6425000;2025000;"12"
3025000;1975000;"12"
3075000;1975000;"12"
3125000;1975000;"12"
3175000;1975000;"12"
3225000;1975000;"12"
3275000;1975000;"12"
4225000;1975000;"12"
4825000;1975000;"12"
4875000;1975000;"12"
4925000;1975000;"12"
5325000;1975000;"12"
5375000;1975000;"12"
6075000;1975000;"12"
6125000;1975000;"12"
6175000;1975000;"12"
6225000;1975000;"12"
6275000;1975000;"12"
6375000;1975000;"12"
6425000;1975000;"12"
3075000;1925000;"12"
3125000;1925000;"12"
3175000;1925000;"12"
3225000;1925000;"12"
3275000;1925000;"12"
4225000;1925000;"12"
4875000;1925000;"12"
5375000;1925000;"12"
5975000;1925000;"12"
6025000;1925000;"12"
6225000;1925000;"12"
6325000;1925000;"12"
2925000;1875000;"12"
2975000;1875000;"12"
3075000;1875000;"12"
3125000;1875000;"12"
3175000;1875000;"12"
3225000;1875000;"12"
3275000;1875000;"12"
3325000;1875000;"12"
4225000;1875000;"12"
6025000;1875000;"12"
6075000;1875000;"12"
6325000;1875000;"12"
2725000;1825000;"12"
2925000;1825000;"12"
3125000;1825000;"12"
3175000;1825000;"12"
3225000;1825000;"12"
3275000;1825000;"12"
3325000;1825000;"12"
4225000;1825000;"12"
6075000;1825000;"12"
3025000;1775000;"12"
3225000;1725000;"12"
2875000;1675000;"12"
2975000;1675000;"12"
6425000;1675000;"12"
6475000;1675000;"12"
4625000;1625000;"12"
4675000;1625000;"12"
4725000;1625000;"12"
4725000;1575000;"12"
